clip_id,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU12_r,label,source_id
Art6_S2,0.2669723294723295,0.6902472527472527,-0.15357987166497802,0.5375457875457875,0.04050409226190474,-0.09971953879713302,0.29781746031746037,1.4494047619047619,1,Art6
Art6_S32,0.3536273115220484,0.4271255060728745,-0.16670399402762223,0.44453441295546564,-0.06554276315789477,0.015679585376654478,0.3442105263157895,0.1926315789473684,1,Art6
Art6_S36,0.2116197830483545,0.521062271062271,-0.023471800067544724,0.40842490842490836,0.39713541666666663,0.05041094031878877,0.3072562358276644,0.3581632653061224,1,Art6
Art6_S43,0.43233793233793233,0.3977945131791285,0.0005951495313197663,0.3830016137708445,-0.12631118881118883,0.053390050273814674,0.2034965034965035,0.004195804195804196,0,Art6
Art6_S6,0.0764864864864865,0.27538461538461534,0.10539007092198585,0.1676923076923077,-0.053125000000000026,0.6994079152383919,0.12133333333333335,0.0,0,Art6
Art6_S88,0.9276457180071638,0.602873030583874,0.21384260446039483,0.6645041705282669,0.04263930722891564,0.23847086695175834,0.46947791164658637,0.04192771084337349,1,Art6
Art6_S89,0.177002457002457,0.2703496503496503,0.4711025145067699,0.38545454545454544,-0.2859375,-0.19066829088642734,0.468969696969697,0.0,0,Art6
Art6_S90,0.2888041672957874,0.6974645466265578,0.2785768057371529,0.770949720670391,-0.01156599162011176,0.28321184656979054,0.4638733705772812,0.010614525139664804,0,Art6
Bus14_S105,0.4168490783410138,0.56875,0.8719951923076923,0.8258928571428571,0.20134685230024213,0.2120535714285714,0.5074936224489796,-0.11311042274052474,1,Bus14
Bus14_S106,0.07670250896057347,0.2191358024691358,0.4737654320987654,0.441358024691358,-0.5014124293785309,-0.3185579196217494,0.40873015873015867,-0.35676492819349953,1,Bus14
Bus14_S108,0.07096774193548387,0.14025157232704402,0.4369859700048379,0.35534591194968557,-0.4940837863767188,-0.24909674829385786,0.5370619946091644,-0.32479784366576814,1,Bus14
Bus14_S109,0.28008415147265076,0.5398550724637682,0.26755852842809363,0.33333333333333337,-0.27100221075902725,0.11783071230342275,0.5077639751552795,-0.2526619343389529,1,Bus14
Bus14_S110,0.6516129032258065,0.7319444444444444,0.2984775641025641,0.22222222222222224,-0.5079449152542372,-0.444813829787234,0.3928571428571428,-0.14030612244897955,1,Bus14
Bus14_S111,0.2291890681003584,0.3575231481481482,0.3292601495726496,0.44357638888888895,0.0571151129943503,0.08809840425531912,0.40079365079365076,-0.13683390022675734,1,Bus14
Bus14_S113,0.17194157029823495,0.5433962264150943,0.16358248669569422,0.7106918238993711,-0.3233930284617844,-0.45308109193095136,0.579177897574124,0.3294185598767809,1,Bus14
Bus14_S17,0.07565591397849462,0.23244444444444445,1.0655128205128204,0.30111111111111116,0.4441242937853107,0.4514539007092198,0.2745238095238095,0.9914285714285714,1,Bus14
Bus14_S18,0.772076417162543,0.45275080906148873,0.19214588000995766,1.3676375404530745,-0.0057265097910152935,-0.09154100392480895,0.2990984743411928,0.39692886863483257,1,Bus14
Bus14_S2,0.2602067505293312,0.6054054054054054,-0.03185328185328185,0.3835263835263836,0.23094038348275633,0.021851638872915455,0.2032542746828461,-0.1007406823733354,1,Bus14
Bus14_S28,0.13015873015873014,0.21164021164021166,0.911172161172161,0.21626984126984128,-0.6107075598601022,-0.5744258696386356,0.3412698412698412,-0.38556851311953344,0,Bus14
